Device = Madrid
FW Version = 1.9.4.2017
App Version = 1.3
Serial Number = 00001E00010B00000000
"Linux version 2.6.31-leapfrog (rdowling@rdowling-t400) (gcc version 4.1.1) #1 Tue Mar 29 09:59:15 PDT 2011",0.00
"CPU: ARM926EJ-S [41069265] revision 5 (ARMv5TEJ), cr=00053177",0.00
"CPU: VIVT data cache, VIVT instruction cache",0.00
"Machine: ARM-LF1000",0.00
"Memory policy: ECC disabled, Data cache writeback",0.00
"On node 0 totalpages: 11776",0.00
"free_area_init_node: node 0, pgdat c0416b74, node_mem_map c0459000",0.00
"Normal zone: 92 pages used for memmap",0.00
"Normal zone: 0 pages reserved",0.00
"Normal zone: 11684 pages, LIFO batch:1",0.00
"lf1000_oscvco_set.65 pll 0, not changed already set to 0x00DF2100",0.00
"PLL0=393.218109 MHz   PLL1=144.000 MHz   Built 1 zonelists in Zone order, mobility grouping on.  Total pages: 11684",0.00
"Kernel command line: init=/sbin/init console=ttyS0,115200 loglevel=2 mem=46M mlc_fb=0x82E00000,0x01200000 ram=0x80000000-0x83FFFFFF screen_module=ILI6480G2 root=/dev/mmcblk0p3 rootwait ",0.00
"PID hash table entries: 256 (order: 8, 1024 bytes)",0.00
"Dentry cache hash table entries: 8192 (order: 3, 32768 bytes)",0.00
"Inode-cache hash table entries: 4096 (order: 2, 16384 bytes)",0.00
"Memory: 46MB = 46MB total",0.00
"Memory: 42188KB available (3816K code, 396K data, 112K init, 0K highmem)",0.00
"NR_IRQS:256",0.00
"TIM0=  4.500 MHz   TIM1=  4.500 MHz   TIM2=  4.500 MHz   TIM3=  4.500 MHz   TIM4=  4.500 MHz   ",0.00
"console [ttyS0] enabled",0.00
"Calibrating delay loop (skipped) preset value.. 786.43 BogoMIPS (lpj=3932181)",0.00
"Mount-cache hash table entries: 512",0.00
"CPU: Testing write buffer coherency: ok",0.00
"NET: Registered protocol family 16",0.02
"bio: create slab <bio-0> at 0",0.06
"usbcore: registered new interface driver usbfs",0.07
"usbcore: registered new interface driver hub",0.07
"usbcore: registered new device driver usb",0.07
"NET: Registered protocol family 2",0.09
"IP route cache hash table entries: 1024 (order: 0, 4096 bytes)",0.09
"TCP established hash table entries: 2048 (order: 2, 16384 bytes)",0.09
"TCP bind hash table entries: 2048 (order: 1, 8192 bytes)",0.09
"TCP: Hash tables configured (established 2048 bind 2048)",0.09
"TCP reno registered",0.09
"NET: Registered protocol family 1",0.09
"arch/arm/mach-lf1000/gpio_main.c.check_for_touchscreen:1350 found touchscreen",0.10
"Reading Board ID =  0x0b",0.10
"lf1000-dpc lf1000-dpc: screen: 480x272",0.10
"fuse init (API version 7.12)",0.11
"msgmni has been set to 82",0.11
"alg: No test for stdrng (krng)",0.12
"io scheduler noop registered",0.12
"io scheduler deadline registered (default)",0.12
"lf1000-bl lf1000-bl: Using PWM Channel 2 for backlight",0.12
"lf1000-bl lf1000-bl: PWM rate is 9600000",0.12
"lf1000-fb lf1000-fb: layers=3, screen=480x272",0.12
"lf1000-fb lf1000-fb: got IRQ 0",0.12
"lf1000-fb lf1000-fb: layer=0, xyres=480x272",0.12
"lf1000-fb lf1000-fb: layer=1, xyres=480x272",0.13
"lf1000-fb lf1000-fb: layer=2, xyres=480x272",0.14
"Serial: 8250/16550 driver $Revision: 1.90 $ 1 ports, IRQ sharing disabled",0.16
"serial8250: ttyS0 at MMIO 0x0 (irq = 10) is a 8250",0.16
"brd: module loaded",0.17
"ohci_hcd: USB 1.1 'Open' Host Controller (OHCI) Driver",0.17
"lf1000-ohci lf1000-ohci: LF1000 OHCI",0.17
"lf1000-ohci lf1000-ohci: new USB bus registered, assigned bus number 1",0.17
"lf1000-ohci lf1000-ohci: irq 28, io mem 0xc000d000",0.17
"after hcd->driver->start",0.24
"usb usb1: configuration #1 chosen from 1 choice",0.24
"hub 1-0:1.0: USB hub found",0.24
"hub 1-0:1.0: 2 ports detected",0.24
"usb_add_hcd() returns 0",0.24
"IRQ 31/lf1000-rtc: IRQF_DISABLED is not guaranteed on shared IRQs",0.25
"lf1000-rtc: dev (254:0)",0.25
"lf1000-rtc lf1000-rtc: rtc core: registered lf1000-rtc as rtc0",0.25
"LF1000 Real Time Clock driver.",0.25
"i2c /dev entries driver",0.25
"Software Watchdog Timer: 0.07 initialized. soft_noboot=0 soft_margin=60 sec (nowayout= 0)",0.32
"usbcore: registered new interface driver usbhid",0.37
"usbhid: v2.6:USB HID core driver",0.37
"MTD: Controller Initialized",0.37
"nand_get_flash_type(...): Manu_ID = 49, Dev_ID = 49 ",0.38
"NAND device: Manufacturer ID: 0x49, Chip ID: 0x49 (Unknown NAND 128MiB 1,8V 16-bit)",0.39
"NAND bus width 8 instead 16 bit",0.39
"No NAND device found!!!",0.39
"lf1000-nand lf1000-nand: Failed to find on board NAND",0.39
"Creating 5 MTD partitions on "lf1000-base":",0.39
"x000000000000-0x000000100000 : "Emerald_Boot"",0.39
"mtd: partition "Emerald_Boot" is out of reach -- disabled",0.39
"x000000100000-0x000000200000 : "I18n_Screens"",0.81
"mtd: partition "I18n_Screens" is out of reach -- disabled",0.81
"x000000200000-0x000000a00000 : "Kernel"",0.81
"mtd: partition "Kernel" is out of reach -- disabled",0.81
"x000000a00000-0x000006000000 : "RFS"",0.81
"mtd: partition "RFS" is out of reach -- disabled",0.81
"x000006000000-0x000000000000 : "Bulk"",0.82
"mtd: partition "Bulk" is out of reach -- disabled",0.82
"Probing nor-flash at physical address 0x00000000 (8-bit bankwidth)",0.82
"Found: SST 39LF040",0.82
