"Bgn app",3.34
"AppManager: Entered main function: ",6.09
"AppManager: Bgn Init Logging: ",6.43
"AppManager: Bgn Get Splash Json: ",6.47
"AppManager: Start splash video: ",7.46
"AppManager: Bgn InitMutex: ",7.47
"AppManager: End SetupSystem: ",7.48
"AppManager: End Init CLogFile: ",7.49
"AppManager: End Load DidjPatches: ",7.56
"AppManager: Bgn Set Profile Logging: ",7.56
"AppManager: End Set Profile Logging: ",7.87
"AppManager: End Set Power & USB: ",7.88
"AppManager: Bgn Load main.swf: ",7.88
"AppManager: End Load main.swf: ",8.80
"AppManager: UI loaded: ",8.80
"AppManager: UI entered: ",9.25
"AppManager: UI updated: ",11.18
"AppManager: End splash video: ",12.58
"AppManager: Start shutdown video: ",34.68
"AppManager: End shutdown video: ",36.89
"End AppManager exit(0)",37.82
