"Device","Madrid"
"FW Version","1.9.6.2139"
"App Version","1.4"
"Serial Number","13101E00010B0601004C"
"End mount -a",1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
"Bgn mounts",1.21,1.21,1.21,1.21,1.21,1.21,1.22,1.21,1.22,1.21,1.21,1.22,1.22,1.22,1.22,1.22,1.22,1.21,1.22,1.22,1.22,1.21,1.22,1.22,1.22,1.21,1.22,1.21,1.21,1.22
"End mounts",1.89,1.39,1.39,1.89,1.90,1.89,1.90,1.89,1.39,1.39,1.89,1.39,1.39,1.39,1.90,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.40,1.89,1.39,1.39,1.89,1.39,1.90
"Bgn app",3.19,2.50,2.83,2.98,3.45,3.05,3.52,2.94,2.61,2.60,3.48,2.44,2.45,2.46,2.96,2.87,2.88,2.46,2.60,2.44,2.47,2.90,2.59,2.43,3.17,2.83,2.77,2.97,2.77,3.08
"Bgn Start splash video",3.54,2.82,3.24,3.34,3.67,3.32,3.72,3.27,2.94,2.82,3.65,2.70,2.76,2.86,3.46,3.15,3.15,2.83,2.96,2.82,2.78,3.19,2.82,2.75,3.57,3.12,3.16,3.37,3.08,3.42
"Bgn AppManager",3.93,2.94,3.25,3.45,3.84,3.42,3.95,3.47,3.37,3.15,3.96,2.99,2.98,2.99,3.48,3.33,3.27,3.15,3.20,2.93,2.91,3.37,3.16,3.05,3.73,3.32,3.38,3.53,3.25,3.67
"End display legal",4.16,3.71,4.20,4.12,4.46,4.37,4.31,4.37,3.62,3.58,4.03,3.84,3.48,3.88,4.08,4.26,4.17,3.50,3.76,3.89,3.86,4.07,3.82,4.16,4.38,3.67,4.03,4.12,4.08,4.18
"Bgn sounds/startup.wav",4.45,3.90,4.35,4.44,4.67,4.51,4.64,4.61,3.77,3.90,4.23,4.01,3.87,4.10,4.38,4.42,4.32,3.76,4.03,4.02,4.01,4.36,4.05,4.34,4.62,4.01,4.28,4.39,4.28,4.34
"Bgn Shutting down system [DUPE]",,47.77,,,,,,,,,,,,,,49.33
"End dbus-1 stop [DUPE]",,47.94,,,,,,,,,,,,,,49.43
"End vsftpd stop [DUPE]",,48.07,,,,,,,,,,,,,,49.56
"End telnetd stop [DUPE]",,48.25,,,,,,,,,,,,,,49.75
"End vbus stop [DUPE]",,48.47,,,,,,,,,,,,,,49.93
"End networking stop [DUPE]",,48.58,,,,,,,,,,,,,,50.71
"End usbether stop [DUPE]",,48.96,,,,,,,,,,,,,,50.91
"Bgn killall mainapp [DUPE]",,49.12,,,,,,,,,,,,,,51.08
"End killall mainapp [DUPE]",,49.28,,,,,,,,,,,,,,51.28
"Bgn umount -a [DUPE]",,49.55,,,,,,,,,,,,,,51.52
"End usbether",6.04,5.47,5.99,6.08,6.39,6.23,6.15,6.28,5.64,5.45,6.23,5.78,5.44,5.81,5.85,6.04,5.81,5.28,5.51,5.77,5.47,5.95,5.74,5.89,6.37,5.57,5.82,6.16,5.88,5.91
"End touchscreen",6.67,6.09,6.57,6.61,6.85,6.66,6.62,6.74,6.20,6.06,6.72,6.25,5.91,6.37,6.33,6.48,6.38,5.88,6.06,6.22,6.09,6.48,6.20,6.51,6.87,6.08,6.30,6.58,6.31,6.39
"End sounds/startup.wav",7.38,6.82,7.07,7.31,7.54,7.47,7.45,7.42,6.73,6.57,6.95,6.89,6.47,6.90,6.90,7.33,6.96,6.54,6.89,6.81,6.87,7.14,6.84,7.06,7.56,6.94,7.12,7.15,7.11,7.22
"End setcal",7.63,6.89,7.27,7.46,7.63,7.37,7.50,7.52,6.92,6.94,7.50,7.00,6.67,7.10,7.16,7.20,7.19,6.67,6.80,6.99,6.80,7.31,7.00,7.36,7.58,6.83,7.19,7.46,7.12,7.27
"AppManager: Entered main function: ",,7.16,7.47,7.71,7.97,7.73,7.94,7.71,7.21,7.20,7.81,7.22,7.12,7.22,7.66,7.53,7.53,7.14,7.24,7.24,7.21,7.53,7.20,7.67,7.89,7.47,7.42,7.69,7.45,7.75
"AppManager: Bgn Init Logging: ",,7.53,7.73,8.04,8.37,8.03,8.20,8.06,7.65,7.54,8.21,7.55,7.39,7.61,8.01,7.78,7.85,7.60,7.49,7.69,7.57,7.85,7.66,8.09,8.26,7.86,7.79,8.15,7.83,8.08
"AppManager: Bgn InitMutex: ",,7.54,7.75,8.06,8.38,8.04,8.21,8.07,7.66,7.57,8.22,7.56,7.41,7.66,8.06,7.78,7.86,7.62,7.50,7.71,7.58,7.85,7.67,8.11,8.29,7.87,7.82,8.16,7.84,8.09
"AppManager: End SetupSystem: ",,7.57,7.76,8.10,8.42,8.08,8.25,8.09,7.70,7.59,8.27,7.58,7.45,7.68,8.08,7.81,7.90,7.64,7.54,7.72,7.60,7.90,7.69,8.16,8.31,7.88,7.85,8.18,7.86,8.13
"AppManager: End Init CLogFile: ",,7.66,7.84,8.17,8.51,8.14,8.31,8.19,7.78,7.67,8.34,7.68,7.51,7.75,8.18,7.88,7.98,7.70,7.60,7.81,7.69,7.98,7.77,8.24,8.39,7.99,7.93,8.26,7.94,8.21
"AppManager: End Load DidjPatches: ",,7.68,7.85,8.19,8.52,8.15,8.31,8.20,7.79,7.69,8.35,7.69,7.53,7.76,8.19,7.89,8.01,7.71,7.60,7.82,7.70,8.01,7.78,8.24,8.41,8.01,7.95,8.27,7.95,8.22
"AppManager: Bgn Set Profile Logging: ",,7.68,7.87,8.19,8.53,8.16,8.34,8.20,7.80,7.69,8.36,7.70,7.56,7.77,8.20,7.90,8.02,7.73,7.63,7.83,7.70,8.01,7.81,8.26,8.41,8.01,7.95,8.27,7.96,8.22
"AppManager: End Set Profile Logging: ",,7.75,7.93,8.22,8.59,8.20,8.37,8.25,7.86,7.77,8.40,7.74,7.59,7.82,8.24,7.99,8.09,7.78,7.66,7.86,7.80,8.10,7.84,8.31,8.47,8.07,8.01,8.33,8.03,8.30
"AppManager: End Set Power & USB: ",,8.28,8.54,8.78,9.12,8.78,8.93,8.80,8.37,8.32,8.91,8.31,8.16,8.35,8.76,8.56,8.60,8.30,8.20,8.39,8.33,8.63,8.36,8.82,8.99,8.60,8.54,8.84,8.56,8.81
"AppManager: Bgn Load main.swf: ",,8.28,8.54,8.78,9.12,8.79,8.94,8.80,8.38,8.32,8.91,8.31,8.16,8.36,8.76,8.56,8.61,8.30,8.24,8.39,8.34,8.63,8.37,8.82,9.00,8.60,8.54,8.84,8.56,8.82
"AppManager: End Load main.swf: ",,9.31,9.57,9.81,10.11,9.81,9.99,9.83,9.33,9.33,9.93,9.31,9.20,9.34,9.78,9.60,9.65,9.29,9.28,9.38,9.33,9.65,9.33,9.83,9.98,9.60,9.57,9.83,9.59,9.85
"AppManager: UI loaded: ",,9.31,9.58,9.81,10.11,9.81,10.00,9.83,9.33,9.33,9.93,9.31,9.20,9.34,9.78,9.61,9.65,9.29,9.28,9.38,9.33,9.66,9.33,9.83,9.98,9.60,9.57,9.83,9.59,9.85
