new-calib: New touch screen calibration program v3.12
Serial Number='150A1E00010B0602030E'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 919 X2=1014  Y= 958 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 900  P= 522  D=   5 
 X= 769 X2=1023  Y= 848 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 761  P= 522  D=   1 
 X= 857 X2=1011  Y= 938 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 764  P= 522  D=   1 
 X= 861 X2=1023  Y= 893 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 756  P= 522  D=   1 
 X= 792 X2=1023  Y= 900 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 777  P= 522  D=   1 
 X= 920 X2=1003  Y= 862 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 769  P= 522  D=   1 
 X= 911 X2= 989  Y= 890 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 758  P= 522  D=   1 
 X= 868 X2=1005  Y= 882 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 733  P= 522  D=   1 
 X= 826 X2=1023  Y= 883 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 766  P= 522  D=   1 
 X= 791 X2=1022  Y= 897 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 770  P= 522  D=   1 
 X= 720 X2=1023  Y= 878 Y2=1019 P1=1023 P2=  -1 T1=1023 T2= 758  P= 522  D=   1 
 X= 808 X2=1013  Y= 886 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 787  P= 522  D=   1 
 X= 849 X2=1013  Y= 883 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 755  P= 522  D=   1 
 X= 838 X2=1010  Y= 885 Y2=1022 P1=1022 P2=  -1 T1=1023 T2= 756  P= 522  D=   1 
 X= 810 X2=1012  Y= 892 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 751  P= 522  D=   1 
 X= 956 X2=1001  Y= 888 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 750  P= 522  D=   1 
 X= 914 X2= 979  Y= 875 Y2=1021 P1=1023 P2=  -1 T1=1021 T2= 759  P= 522  D=   1 
 X= 705 X2=1023  Y= 913 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 764  P= 522  D=   1 
 X= 918 X2= 996  Y= 888 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 762  P= 522  D=   1 
 X= 768 X2=1023  Y= 895 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 758  P= 522  D=   1 
 X= 721 X2=1023  Y= 898 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 736  P= 522  D=   1 
 X= 729 X2=1023  Y= 918 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 764  P= 522  D=   1 
 X= 892 X2= 998  Y= 882 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 760  P= 522  D=   1 
 X= 814 X2=1008  Y= 895 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 775  P= 522  D=   1 
 X= 829 X2= 984  Y= 904 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 769  P= 522  D=   1 
 X= 858 X2=1010  Y= 891 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 726  P= 522  D=   1 
 X= 787 X2=1023  Y= 877 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 732  P= 522  D=   1 
 X= 827 X2=1023  Y= 890 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 783  P= 522  D=   1 
 X= 830 X2=1023  Y= 906 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 736  P= 522  D=   1 
