./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102C5'
Entering calib_delay
 X= 527 X2= 526  Y= 518 Y2= 518 P1= 810 P2= 404 T1=1018 T2=  18  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 518 P1= 809 P2= 405 T1=  17 T2=  17  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 808 P2= 406 T1=  18 T2=  18  P= 519  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 517 P1= 808 P2= 406 T1=  17 T2=  18  P= 519  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 524  Y= 517 Y2= 518 P1= 810 P2= 402 T1=  18 T2=  18  P= 532  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 526  Y= 518 Y2= 518 P1= 813 P2= 398 T1=  18 T2=  18  P= 547  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 519 Y2= 518 P1= 813 P2= 398 T1=  18 T2=  19  P= 546  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 518 P1= 812 P2= 399 T1=  18 T2=  18  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 522 X2= 525  Y= 521 Y2= 517 P1= 811 P2= 401 T1=  17 T2=  18  P= 534  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 518 Y2= 518 P1= 811 P2= 402 T1=  18 T2=  18  P= 533  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 518 P1= 812 P2= 401 T1=  17 T2=  18  P= 537  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 519 P1= 811 P2= 401 T1=  17 T2=  17  P= 536  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 518 Y2= 518 P1= 811 P2= 402 T1=  17 T2=  18  P= 533  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 810 P2= 402 T1=  18 T2=  18  P= 532  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 518 Y2= 518 P1= 810 P2= 402 T1=  18 T2=  18  P= 532  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 811 P2= 402 T1=  19 T2=  18  P= 533  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 526  Y= 518 Y2= 518 P1= 811 P2= 402 T1=  18 T2=  18  P= 533  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 810 P2= 403 T1=  16 T2=  18  P= 529  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 518 Y2= 517 P1= 810 P2= 402 T1=  18 T2=  16  P= 532  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 517 Y2= 518 P1= 811 P2= 403 T1=  18 T2=  18  P= 531  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 523  Y= 518 Y2= 518 P1= 810 P2= 403 T1=  17 T2=  18  P= 528  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 810 P2= 403 T1=  18 T2=  18  P= 529  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 517 Y2= 518 P1= 810 P2= 403 T1=  18 T2=  17  P= 529  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 517 P1= 810 P2= 403 T1=  18 T2=  18  P= 529  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 525  Y= 517 Y2= 517 P1= 809 P2= 403 T1=  17 T2=  18  P= 528  D=  80 tn=0 wfr=0 sd=0
 X= 528 X2= 525  Y= 518 Y2= 518 P1= 810 P2= 403 T1=  18 T2=  17  P= 530  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 517 Y2= 518 P1= 809 P2= 403 T1=  18 T2=  18  P= 526  D=  10 tn=0 wfr=0 sd=0
 X= 525 X2= 524  Y= 517 Y2= 517 P1= 809 P2= 403 T1=  17 T2=  17  P= 527  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 517 Y2= 518 P1= 810 P2= 402 T1=  17 T2=  18  P= 530  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 525  Y= 518 Y2= 518 P1= 810 P2= 403 T1=  17 T2=  18  P= 529  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 526  Y= 517 Y2= 517 P1= 810 P2= 404 T1=  18 T2=  18  P= 527  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 518 Y2= 518 P1= 810 P2= 404 T1=  18 T2=  16  P= 528  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 521 Y2= 517 P1= 810 P2= 403 T1=  16 T2=  18  P= 528  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 518 Y2= 517 P1= 809 P2= 404 T1=  18 T2=  18  P= 526  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 529  Y= 517 Y2= 517 P1= 810 P2= 403 T1=  17 T2=  18  P= 531  D=  10 tn=0 wfr=0 sd=0
