929       996 1023           1023  956            
896       989 1023           1023  963            
845 1014  998 1023           1023  967            
1019 1001 1002 1019           1023  962            
930 1023  997 1023           1023  956            
981 1023  998 1023           1023  948            
973 1023 1008 1020           1023  975            
831 1018  985 1023           1023  950            
898 1023  999 1021           1021  956            
1009  959  993 1018           1020  964            
995  995 1001 1020           1023  961            
980 1021  999 1021           1023  980            
1023 1023 1004 1023           1023  967            
870 1023  991 1023           1023  963            
953 1023 1002 1020           1023  956            
970 1023  998 1023           1022  961            
817 1017  990 1021           1021  951            
824 1018  991 1023           1023  951            
1013 1007  998 1021           1020  958            
1004  967  990 1022           1023  968            
850 1007  997 1021           1023  968            
982 1023  992 1020           1023  955            
1023 1023 1004 1021           1021  958            
924 1023  993 1023           1023  956            
941 1023  995 1021           1023  958            
972 1000  999 1023           1022  959            
875 1017  992 1021           1021  945            
855 1023  993 1023           1023  947            
1023 1003 1001 1019           1020  959            
998  989  997 1020           1022  956            
979 1023  998 1022           1023  959            
976 1022 1004 1021           1023  973            
865 1023  993 1023           1023  954            
934 1023 1001 1023           1022  964            
971 1023  998 1023           1022  951            
841 1012  993 1021           1022  954            
939 1017  991 1023           1021  946            
1004  970 1001 1019           1022  962            
895 1023  998 1023           1023  952            
937 1023  995 1021           1023  953            
980 1023  995 1023           1022  958            
1023 1023 1006 1020           1023  967            
892 1023  995 1022           1021  958            
931 1023 1001 1023           1023  949            
997  985 1001 1020           1023  963            
938 1017  986 1023           1020  946            
1023 1023  999 1021           1022  958            
1023  999  998 1021           1023  968            
1008  961  998 1019           1020  955            
979 1023 1002 1021           1022  959            
970 1023 1003 1019           1023  956            
890 1023  993 1023           1023  949            
906 1023  997 1023           1021  958            
1005  966 1004 1019           1022  956            
998  997 1001 1021           1021  955            
930 1018  997 1023           1021  961            
1023 1023 1005 1020           1023  961            
859 1014  994 1021           1023  958            
1023  960 1003 1023           1022  970            
980 1023 1002 1020           1023  956            
936 1021  991 1023           1023  945            
863 1023  994 1023           1023  960            
908 1023  997 1023           1022  952            
897 1023  999 1023           1023  949            
851 1014 1001 1023           1023  949            
979 1023 1007 1020           1023  967            
1023  972  995 1023           1022  969            
935 1023 1000 1023           1021  952            
948 1023  995 1023           1023  957            
969 1023 1001 1023           1023  956            
833 1021  989 1023           1021  969            
853 1023  994 1023           1023  968            
1016 1003  998 1023           1021  962            
993  991  997 1020           1022  956            
1009  961  996 1023           1019  964            
1023  991 1001 1021           1023  955            
1023  989 1001 1021           1021  958            
937 1023  999 1023           1023  953            
981 1023  990 1023           1023  956            
951 1023 1002 1021           1021  960            
915 1023  992 1023           1021  965            
1009  965  998 1020           1020  953            
1005  969 1003 1020           1022  960            
914 1005 1001 1021           1021  971            
977 1023 1002 1018           1023  955            
1023 1023 1006 1021           1023  964            
927 1023  999 1023           1023  958            
943 1023 1000 1023           1023  958            
935 1023  994 1022           1021  956            
912 1018 1003 1023           1022  954            
824 1018  992 1023           1020  962            
890 1023  998 1023           1023  952            
1004  963  995 1021           1023  961            
977 1023  997 1021           1022  969            
980 1023 1000 1023           1023  971            
823 1019  997 1023           1023  951            
946 1023 1001 1022           1023  963            
971 1022 1001 1020           1023  961            
868 1012  996 1021           1021  966            
921 1017  996 1021           1018  949            
1023 1023 1003 1022           1023  956            
1023  994  999 1022           1023  974            
944 1023  989 1023           1023  962            
975 1023  996 1023           1023  956            
913 1023  997 1023           1023  944            
807 1017  989 1023           1023  955            
926 1021  999 1023           1023  958            
996  991  998 1023           1023  952            
842 1013  999 1021           1022  950            
1023 1022 1003 1021           1023  958            
1023 1021 1006 1021           1021  972            
929 1023 1000 1022           1023  960            
944 1023  995 1023           1023  951            
997  991  998 1023           1022  954            
830 1019  995 1023           1023  949            
866 1023  994 1023           1023  947            
1006  975  993 1020           1021  962            
1000  998 1000 1019           1021  958            
980 1021 1007 1020           1023  964            
1023 1023 1008 1021           1023  969            
1023  977 1000 1020           1023  965            
939 1023  997 1023           1023  955            
977 1023  999 1023           1023  962            
870 1013 1002 1020           1017  958            
811 1019  993 1023           1023  958            
1019 1001  995 1021           1022  955            
1004  962  994 1020           1020  960            
863 1007  996 1021           1021  965            
978 1023  996 1023           1022  957            
1023 1023 1004 1023           1023  974            
917 1023 1000 1021           1023  957            
950 1023  996 1023           1023  958            
969 1016  997 1023           1021  954            
931 1016  989 1023           1022  937            
830 1018  991 1023           1023  949            
1023  991  996 1020           1023  957            
999  992  999 1021           1021  960            
974 1023  997 1023           1022  966            
918 1006  997 1023           1020  965            
905 1023  998 1023           1023  954            
919 1023  994 1023           1021  965            
955 1023  998 1021           1023  951            
855 1014  998 1023           1022  964            
865 1017  984 1023           1023  954            
1023  960 1000 1020           1021  959            
1015 1001 1003 1019           1022  964            
951 1023  991 1023           1023  951            
977 1023 1002 1023           1023  949            
976 1023  996 1019           1023  951            
835 1018  987 1023           1023  949            
930 1023  995 1023           1021  952            
999  992  996 1020           1021  965            
856 1007  990 1023           1020  958            
1023 1023 1009 1021           1023  961            
1023 1023 1001 1023           1020  955            
1020 1008 1001 1020           1023  958            
974 1023  998 1023           1023  966            
975 1023  999 1020           1023  966            
960 1023 1000 1023           1023  955            
988 1023 1006 1023           1022  969            
997  991  997 1020           1022  953            
871 1009 1000 1021           1023  955            
894 1014  992 1023           1023  958            
882 1013  996 1021           1021  955            
1020 1005 1000 1023           1023  954            
940 1023  998 1023           1023  957            
973 1023  999 1021           1023  960            
917 1018  995 1021           1021  963            
818 1021  984 1023           1023  952            
915 1023  988 1023           1023  956            
1007  972 1001 1020           1020  967            
997 1002  998 1023           1023  952            
980 1023  996 1020           1022  956            
1023 1023 1007 1021           1023  959            
911 1023  996 1023           1023  952            
935 1023  999 1023           1021  957            
974 1023  999 1020           1023  959            
948 1018  984 1023           1021  946            
849 1020  998 1023           1021  950            
1011  985  996 1023           1020  975            
922 1023  994 1023           1021  962            
1023 1023 1007 1020           1021  963            
1023  960 1003 1021           1021  961            
