911       994                1021  949            
916       996                1023  956            
898 1017 1000                1020  955            
1019 1001 1000 1020           1023  955            
1023 1021 1000 1021           1023  960            
1022  991  996 1021           1020  953            
944 1023  995 1023           1021  968            
979 1023 1000 1023           1023  951            
913 1015  988 1023           1021  947            
813 1023  998 1023           1023  949            
1023  958 1001 1020           1022  952            
895 1023  998 1023           1023  966            
901 1017  999 1023           1020  953            
1023 1023 1002 1021           1023  969            
1023 1022 1004 1020           1020  954            
931 1023  998 1023           1023  967            
940 1023  998 1023           1021  955            
845 1014  998 1023           1023  969            
811 1021  986 1020           1020  947            
847 1019  996 1023           1022  960            
1020 1000 1002 1019           1020  958            
1009  974 1002 1020           1023  957            
978 1023  996 1021           1023  951            
1023 1023 1000 1021           1021  969            
909 1023  993 1022           1023  952            
1023  973 1000 1020           1022  956            
969 1022  994 1021           1023  955            
858 1012  996 1019           1020  962            
800 1021  989 1023           1021  947            
1023  958 1002 1023           1023  965            
1020 1004  997 1019           1023  952            
946 1023 1003 1023           1023  964            
970 1023  991 1023           1023  958            
798 1020  987 1023           1023  955            
898 1023  999 1023           1023  953            
949 1023  994 1023           1023  952            
997  988  997 1023           1021  951            
847 1013  998 1023           1021  947            
1023  965  998 1023           1023  952            
1023 1023  998 1019           1023  961            
919 1023  995 1023           1023  960            
959 1023 1001 1023           1021  951            
970 1023  995 1021           1021  958            
806 1021  991 1020           1021  952            
906 1023  994 1023           1023  957            
1010  971  989 1018           1021  958            
983 1004  995 1023           1021  950            
1023 1021  996 1023           1023  957            
1023 1023 1002 1019           1023  976            
1023  981 1004 1021           1022  963            
1023  991 1000 1021           1019  966            
978 1023  995 1023           1022  953            
944 1017  994 1021           1022  944            
856 1023  995 1023           1022  947            
1017 1002 1001 1019           1022  961            
1001  990  990 1023           1020  951            
921 1023 1002 1021           1021  961            
1000  972  999 1020           1022  957            
1023  985 1003 1021           1022  964            
923 1023  992 1023           1023  954            
936 1023  999 1022           1023  962            
871 1010  996 1023           1021  954            
874 1021  993 1023           1020  950            
905 1023  997 1023           1023  950            
1019 1001  991 1018           1022  953            
1001  991  991 1021           1023  960            
974 1023  996 1023           1022  960            
968 1023 1006 1020           1023  972            
881 1023  992 1023           1023  957            
877 1023  994 1023           1023  949            
948 1023 1001 1023           1023  954            
842 1012 1000 1021           1022  951            
832 1020  991 1023           1020  957            
1023  992  995 1020           1022  953            
1018  998  996 1018           1023  968            
998  968 1000 1019           1021  956            
974 1023 1000 1020           1023  961            
1023  970 1001 1020           1023  959            
979 1023  996 1023           1023  979            
941 1023  996 1021           1023  953            
930 1018  995 1023           1021  946            
881 1013  996 1023           1023  955            
1023 1021 1002 1023           1022  957            
1023  986 1004 1020           1020  956            
1007  975 1000 1019           1021  948            
966 1023  996 1023           1023  951            
977 1023 1007 1023           1021  974            
824 1017  992 1020           1021  952            
901 1023  997 1023           1023  958            
1005  982 1000 1020           1022  958            
987 1007  991 1022           1021  961            
898 1017  990 1021           1020  959            
1023 1023 1003 1020           1023  958            
1006 1003  995 1023           1020  950            
947 1023  995 1023           1023  962            
972 1023  998 1023           1022  962            
938 1016  977 1023           1021  938            
891 1023  993 1022           1023  953            
915 1023  989 1023           1023  950            
1003  990  996 1023           1019  950            
932 1023  995 1023           1023  962            
972 1023 1019 1023           1023  971            
1023 1023 1006 1021           1023  955            
940 1023  994 1023           1023  949            
925 1023  996 1023           1023  956            
968 1023  999 1023           1022  951            
834 1017  981 1023           1020  945            
838 1017  985 1023           1023  953            
1007  959  995 1023           1020  956            
1001 1000  996 1023           1023  954            
972 1023  994 1021           1023  956            
976 1022  991 1023           1023  965            
1023  982 1004 1020           1023  957            
931 1023  997 1022           1023  958            
948 1023  999 1020           1023  964            
845 1012  998 1023           1021  963            
948 1017  988 1021           1023  950            
1023  986 1000 1020           1023  966            
1007 1003  998 1020           1021  958            
997  998  998 1018           1020  955            
978 1023  997 1018           1023  953            
1023 1023 1006 1021           1023  959            
917 1023  993 1021           1023  960            
932 1023  994 1023           1023  954            
983 1002  993 1023           1023  946            
942 1023  990 1023           1023  954            
820 1018  991 1023           1021  956            
1023  982 1002 1020           1021  959            
1006  981  994 1019           1022  957            
983 1023  999 1020           1023  966            
967 1022  991 1023           1023  950            
800 1020  991 1021           1023  958            
896 1023  994 1023           1021  953            
940 1023  991 1023           1023  956            
