./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102B1'
Entering calib_delay
 X= 601 X2= 613  Y= 602 Y2= 605 P1= 900 P2= 276 T1=  90 T2=  37  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 562 X2= 564  Y= 554 Y2= 551 P1= 911 P2= 250 T1=  60 T2=  42  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 550 X2= 552  Y= 542 Y2= 542 P1= 891 P2= 294 T1=  45 T2=  33  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 549 X2= 549  Y= 542 Y2= 543 P1= 898 P2= 278 T1=  44 T2=  38  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 544 X2= 545  Y= 537 Y2= 537 P1= 890 P2= 296 T1=  38 T2=  32  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 539 X2= 540  Y= 532 Y2= 533 P1= 886 P2= 305 T1=  32 T2=  31  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 541 X2= 540  Y= 534 Y2= 533 P1= 886 P2= 303 T1=  34 T2=  32  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 532 Y2= 532 P1= 886 P2= 304 T1=  31 T2=  31  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 540 X2= 539  Y= 532 Y2= 532 P1= 886 P2= 304 T1=  32 T2=  32  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 539 X2= 540  Y= 532 Y2= 532 P1= 885 P2= 306 T1=  31 T2=  32  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 540 X2= 539  Y= 533 Y2= 532 P1= 886 P2= 306 T1=  31 T2=  31  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 885 P2= 307 T1=  30 T2=  31  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 885 P2= 306 T1=  31 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 539  Y= 532 Y2= 532 P1= 884 P2= 306 T1=  32 T2=  31  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 539 X2= 540  Y= 532 Y2= 532 P1= 885 P2= 306 T1=  32 T2=  30  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 885 P2= 307 T1=  32 T2=  30  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 532 P1= 883 P2= 309 T1=  31 T2=  31  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 539 X2= 540  Y= 531 Y2= 531 P1= 883 P2= 310 T1=  30 T2=  29  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 538 X2= 539  Y= 532 Y2= 532 P1= 884 P2= 310 T1=  30 T2=  30  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 531 P1= 882 P2= 311 T1=  30 T2=  31  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 532 Y2= 531 P1= 884 P2= 311 T1=  30 T2=  32  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 883 P2= 310 T1=  31 T2=  31  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 883 P2= 310 T1=  30 T2=  31  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 532 P1= 884 P2= 310 T1=  30 T2=  31  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 883 P2= 309 T1=  30 T2=  31  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 531 P1= 882 P2= 311 T1=  31 T2=  31  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 538 X2= 539  Y= 531 Y2= 532 P1= 882 P2= 313 T1=  31 T2=  30  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 538 X2= 539  Y= 531 Y2= 531 P1= 882 P2= 311 T1=  30 T2=  30  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 881 P2= 313 T1=  30 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 532 Y2= 532 P1= 882 P2= 314 T1=  30 T2=  30  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 882 P2= 311 T1=  30 T2=  30  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 531 P1= 882 P2= 313 T1=  30 T2=  31  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 532 P1= 882 P2= 313 T1=  31 T2=  30  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 539  Y= 531 Y2= 531 P1= 883 P2= 314 T1=  29 T2=  31  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 532 X2= 539  Y= 531 Y2= 532 P1= 881 P2= 314 T1=  31 T2=  30  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 880 P2= 315 T1=  31 T2=  30  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 531 P1= 881 P2= 314 T1=  29 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 531 P1= 881 P2= 314 T1=  30 T2=  30  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 532 P1= 882 P2= 314 T1=  30 T2=  30  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 532 Y2= 531 P1= 881 P2= 316 T1=  30 T2=  30  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 531 Y2= 530 P1= 880 P2= 318 T1=  29 T2=  29  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 531 Y2= 531 P1= 878 P2= 321 T1=  29 T2=  29  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 531 Y2= 531 P1= 878 P2= 321 T1=  29 T2=  29  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 530 Y2= 530 P1= 879 P2= 321 T1=  29 T2=  28  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 530 Y2= 530 P1= 878 P2= 323 T1=  29 T2=  29  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 530 Y2= 530 P1= 877 P2= 322 T1=  27 T2=  29  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 529 Y2= 530 P1= 878 P2= 322 T1=  28 T2=  29  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 530 Y2= 530 P1= 877 P2= 323 T1=  28 T2=  28  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 535  Y= 530 Y2= 530 P1= 878 P2= 324 T1=  28 T2=  29  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 530 Y2= 530 P1= 879 P2= 321 T1=  29 T2=  27  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 530 Y2= 531 P1= 877 P2= 323 T1=  28 T2=  29  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 538  Y= 530 Y2= 530 P1= 877 P2= 323 T1=  29 T2=  28  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 536  Y= 529 Y2= 530 P1= 874 P2= 330 T1=  29 T2=  27  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 535 X2= 536  Y= 529 Y2= 529 P1= 874 P2= 331 T1=  27 T2=  28  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 529 P1= 875 P2= 330 T1=  28 T2=  27  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 529 Y2= 529 P1= 874 P2= 331 T1=  27 T2=  27  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 534 X2= 536  Y= 528 Y2= 528 P1= 874 P2= 330 T1=  27 T2=  28  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 528 P1= 874 P2= 330 T1=  27 T2=  27  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 529 P1= 873 P2= 330 T1=  27 T2=  27  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 529 Y2= 529 P1= 873 P2= 331 T1=  28 T2=  28  P=  -1  D=  60 tn=0 wfr=0 sd=0
