End mount -a,1.67,1.67,1.68
End mdev,2.59,2.60,2.59
End display legal,4.47,4.47,4.43
Bgn sounds/startup.wav,4.71,4.62,4.55
End usbether,5.34,5.36,5.28
Bgn mounts at 2s,5.61,5.60,5.61
End touchscreen,5.66,5.71,5.57
End mounts,6.49,6.46,6.39
End setcal,6.57,6.59,6.47
End sounds/startup.wav,7.22,7.17,7.03
Bgn Rest of networking at 10s,13.62,13.64,13.62
Bgn CartManager,13.86,13.82,13.96
End dbus-1,13.89,14.43,13.87
End networking,15.15,15.15,14.64
End avahi-daemon,15.64,15.63,15.80
End vbus start,15.76,15.75,15.90
End Rest of networking,15.81,15.80,15.96
Bgn Version Logging at 15s,18.63,18.63,18.80
End Version Logging,19.69,19.69,19.89
