new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X= 526 X2= 525  Y= 520 Y2= 521 P1= 814 P2= 400 T1=1023 T2=  17  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 520 Y2= 520 P1= 814 P2= 398 T1=  20 T2=  17  P= 547  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 520 P1= 813 P2= 401 T1=  17 T2=  17  P= 537  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 518 Y2= 520 P1= 810 P2= 405 T1=  17 T2=  18  P= 523  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 519 Y2= 519 P1= 810 P2= 406 T1=  18 T2=  17  P= 521  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 520 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  60 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 520 Y2= 520 P1= 809 P2= 406 T1=  18 T2=  18  P= 517  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 811 P2= 405 T1=  17 T2=  17  P= 524  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 520 Y2= 520 P1= 811 P2= 403 T1=  17 T2=  18  P= 530  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 812 P2= 402 T1=  18 T2=  17  P= 532  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 520 Y2= 520 P1= 812 P2= 401 T1=  18 T2=  17  P= 535  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 520 Y2= 520 P1= 813 P2= 400 T1=  18 T2=  17  P= 540  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 520 P1= 812 P2= 401 T1=  17 T2=  17  P= 535  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 813 P2= 401 T1=  17 T2=  17  P= 537  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 520 Y2= 519 P1= 809 P2= 401 T1=  18 T2=  18  P= 531  D=  80 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 520 P1= 812 P2= 402 T1=  17 T2=  17  P= 532  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 520 P1= 812 P2= 402 T1=  18 T2=  17  P= 532  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 811 P2= 403 T1=  17 T2=  17  P= 529  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 520 Y2= 519 P1= 812 P2= 403 T1=  17 T2=  17  P= 530  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 811 P2= 403 T1=  17 T2=  18  P= 529  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 811 P2= 404 T1=  14 T2=  17  P= 526  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 520 Y2= 519 P1= 810 P2= 404 T1=  17 T2=  17  P= 526  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 809 P2= 404 T1=  17 T2=  17  P= 524  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 810 P2= 405 T1=  17 T2=  18  P= 523  D=   5 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 519 P1= 810 P2= 405 T1=  17 T2=  17  P= 524  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 518 Y2= 519 P1= 810 P2= 405 T1=  17 T2=  18  P= 522  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 810 P2= 406 T1=  17 T2=  18  P= 520  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 520 P1= 809 P2= 406 T1=  17 T2=  17  P= 518  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 520 P1= 811 P2= 407 T1=  16 T2=  18  P= 518  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 406 T1=  16 T2=  17  P= 517  D=  80 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 520 P1= 809 P2= 406 T1=  17 T2=  17  P= 518  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  18  P= 516  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  18  P= 516  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  18 T2=  17  P= 516  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 810 P2= 407 T1=  17 T2=  17  P= 517  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 518 Y2= 520 P1= 810 P2= 407 T1=  17 T2=  17  P= 517  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  19 T2=  17  P= 516  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  16  P= 513  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 520 Y2= 518 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 515  D=  15 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 515  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  18  P= 514  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 516  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 407 T1=  17 T2=  17  P= 515  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  17 T2=  17  P= 512  D=  80 tn=0 wfr=0 sd=0
 X= 521 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  17  P= 512  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 408 T1=  17 T2=  17  P= 513  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 518 P1= 809 P2= 408 T1=  17 T2=  18  P= 514  D=  15 tn=0 wfr=0 sd=0
