new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X=1011 X2=1023  Y=1017 Y2=1023 P1= 884 P2= 270 T1=1023 T2=  26  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 528  Y= 517 Y2= 517 P1= 815 P2= 381 T1=  16 T2=  20  P= 600  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 517 Y2= 517 P1= 813 P2= 385 T1=  20 T2=  20  P= 584  D=   5 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 517 Y2= 517 P1= 813 P2= 386 T1=  19 T2=  19  P= 582  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 517 Y2= 517 P1= 812 P2= 387 T1=  20 T2=  19  P= 578  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 811 P2= 388 T1=  18 T2=  18  P= 574  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 389 T1=  20 T2=  19  P= 571  D=  30 tn=0 wfr=0 sd=0
 X= 533 X2= 527  Y= 516 Y2= 517 P1= 811 P2= 389 T1=  18 T2=  18  P= 574  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 389 T1=  20 T2=  19  P= 571  D=  60 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 388 T1=  19 T2=  19  P= 574  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 390 T1=  20 T2=  19  P= 568  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 525  Y= 517 Y2= 517 P1= 811 P2= 389 T1=  20 T2=  19  P= 570  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 528  Y= 517 Y2= 517 P1= 811 P2= 389 T1=  18 T2=  19  P= 571  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 811 P2= 390 T1=  18 T2=  18  P= 567  D=  20 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 516 Y2= 517 P1= 811 P2= 390 T1=  19 T2=  19  P= 568  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 390 T1=  20 T2=  19  P= 568  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 811 P2= 390 T1=  19 T2=  19  P= 568  D=  60 tn=0 wfr=0 sd=0
