new-calib: New touch screen calibration program v3.7
Serial Number='13101E00010B06010068'
Entering calib_delay
 X= 640 X2= 647  Y= 641 Y2= 640 P1= 994 P2=  63 T1= 187 T2= 168  P=9501  D=  80 tn=0 wfr=0 sd=0
 X= 646 X2= 641  Y= 641 Y2= 641 P1= 992 P2=  66 T1= 187 T2= 167  P=9021  D=   5 tn=0 wfr=0 sd=0
 X= 637 X2= 626  Y= 624 Y2= 625 P1= 920 P2= 225 T1= 159 T2=  42  P=9021  D=  10 tn=0 wfr=0 sd=0
 X= 543 X2= 544  Y= 542 Y2= 542 P1= 914 P2= 237 T1=  41 T2=  41  P=1550  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 539 Y2= 538 P1= 892 P2= 285 T1=  37 T2=  32  P=1151  D=  20 tn=0 wfr=0 sd=0
 X= 542 X2= 543  Y= 541 Y2= 541 P1= 895 P2= 281 T1=  35 T2=  33  P=1184  D=  30 tn=0 wfr=0 sd=0
 X= 535 X2= 535  Y= 535 Y2= 535 P1= 892 P2= 288 T1=  32 T2=  33  P=1121  D=  40 tn=0 wfr=0 sd=0
 X= 534 X2= 536  Y= 534 Y2= 533 P1= 882 P2= 306 T1=  29 T2=  30  P=1006  D=  60 tn=0 wfr=0 sd=0
 X= 530 X2= 531  Y= 530 Y2= 530 P1= 874 P2= 326 T1=  26 T2=  26  P= 890  D=  80 tn=0 wfr=0 sd=0
 X= 545 X2= 544  Y= 541 Y2= 542 P1= 899 P2= 272 T1=  42 T2=  36  P=1253  D=   5 tn=0 wfr=0 sd=0
 X= 535 X2= 533  Y= 532 Y2= 532 P1= 879 P2= 314 T1=  29 T2=  28  P= 960  D=  10 tn=0 wfr=0 sd=0
 X= 535 X2= 534  Y= 533 Y2= 533 P1= 881 P2= 309 T1=  30 T2=  29  P= 988  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 536 Y2= 536 P1= 891 P2= 288 T1=  32 T2=  32  P=1126  D=  20 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 535 Y2= 536 P1= 890 P2= 291 T1=  35 T2=  33  P=1107  D=  30 tn=0 wfr=0 sd=0
 X= 559 X2= 556  Y= 555 Y2= 554 P1= 895 P2= 282 T1=  58 T2=  32  P=1107  D=  40 tn=0 wfr=0 sd=0
 X= 563 X2= 559  Y= 558 Y2= 557 P1= 910 P2= 250 T1=  63 T2=  38  P=1107  D=  60 tn=0 wfr=0 sd=0
 X= 543 X2= 544  Y= 543 Y2= 541 P1= 898 P2= 274 T1=  41 T2=  35  P=1236  D=  80 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 539 Y2= 538 P1= 896 P2= 276 T1=  38 T2=  36  P=1215  D=   5 tn=0 wfr=0 sd=0
